"Agua embalsada"

"Periodo";"Alfilorios Volumen (hm3)";"Alfilorios Porcentaje";"Arbón Volumen (hm3)";"Arbón Porcentaje";"La Barca Volumen (hm3)";"La Barca Porcentaje";"Doiras Volumen (hm3)";"Doiras Porcentaje";"Salime Volumen (hm3)";"Salime Porcentaje";"Tanes - Rioseco Volumen (hm3)";"Tanes - Rioseco Porcentaje"
"2007-07";7.01;83.35;34.38;85.09;32.67;98.52;105.77;92.30;210.26;79.16;32.88;87.54
"2007-08";6.68;79.43;34.21;84.68;32.51;98.04;94.41;82.38;212.04;79.83;32.06;85.36
"2007-09";6.46;76.81;35.18;87.08;29.76;89.75;102.47;89.42;191.74;72.18;33.02;87.91
"2007-10";6.06;72.06;33.95;84.04;29.67;89.48;79.96;69.77;189.35;71.28;29.10;77.48
"2007-11";6.00;71.34;34.91;86.41;29.51;88.99;97.79;85.33;151.45;57.02;29.39;78.25
"2007-12";6.11;72.65;34.35;85.03;22.06;66.53;91.79;80.10;121.47;45.73;29.07;77.40
"2007";6.13;72.86;34.16;84.56;28.24;85.16;100.05;87.30;202.64;76.29;31.55;84.01
"2008-01";5.47;65.04;33.77;83.59;20.58;62.06;101.58;88.64;151.68;57.10;28.98;77.16
"2008-02";5.11;60.76;34.67;85.82;21.43;64.63;105.42;91.99;150.77;56.76;28.83;76.76
"2008-03";5.27;62.66;33.84;83.76;24.57;74.10;104.22;90.94;220.80;83.12;31.96;85.09
"2008-04";6.48;77.05;33.81;83.69;28.83;86.94;115.00;100.35;246.68;92.87;35.07;93.37
"2008-05";7.90;93.94;33.89;83.89;32.75;98.76;108.39;94.58;245.11;92.28;36.49;97.15
"2008-06";7.90;93.94;34.32;84.95;32.84;99.04;104.22;90.94;244.32;91.98;36.27;96.57
"2008-07";7.71;91.68;34.48;85.35;32.49;97.98;103.79;90.57;247.71;93.25;34.45;91.72
"2008-08";7.05;83.83;35.65;88.24;32.84;99.04;102.55;89.49;226.72;85.35;29.99;79.85
"2008-09";5.93;70.51;33.97;84.08;32.75;98.76;106.20;92.67;189.15;71.21;23.46;62.46
"2008-10";5.16;61.36;35.21;87.15;32.24;97.23;97.79;85.33;146.38;55.11;19.20;51.12
"2008-11";6.53;77.65;33.23;82.25;20.87;62.94;95.99;83.76;144.49;54.40;28.74;76.52
"2008-12";7.90;93.94;35.29;87.35;24.62;74.25;96.40;84.12;214.62;80.80;26.66;70.98
"2008";6.53;77.69;34.34;85.01;28.07;84.64;103.46;90.28;202.37;76.19;30.01;79.89
"2009-01";7.90;93.94;35.37;87.55;31.61;95.33;110.23;96.19;261.34;98.39;24.90;66.29
"2009-02";7.90;93.94;33.46;82.82;21.80;65.74;109.32;95.39;221.02;83.21;29.84;79.45
"2009-03";7.90;93.94;35.13;86.96;21.27;64.14;102.26;89.23;184.11;69.31;31.51;83.89
"2009-04";7.90;93.94;34.21;84.68;26.69;80.49;106.03;92.52;192.21;72.36;32.77;87.25
"2009-05";7.90;93.94;34.83;86.21;30.51;92.01;108.92;95.04;250.33;94.24;36.43;96.99
"2009-06";7.39;87.87;34.83;86.21;32.75;98.76;112.45;98.12;256.93;96.73;36.23;96.46
"2009-07";6.70;79.67;34.72;85.94;32.60;98.31;108.39;94.58;251.61;94.72;32.00;85.20
"2009-08";6.16;73.25;35.62;88.17;32.75;98.76;100.78;87.94;207.44;78.09;26.70;71.09
"2009-09";5.39;64.09;35.40;87.62;32.31;97.44;77.75;67.85;186.91;70.36;22.36;59.53
"2009-10";4.51;53.63;33.84;83.76;32.22;97.17;73.49;64.13;138.18;52.02;17.10;45.53
"2009-11";4.43;52.68;34.05;84.28;15.43;46.53;88.75;77.44;177.18;66.70;26.19;69.73
"2009-12";4.62;54.94;34.56;85.55;15.64;47.17;106.64;93.05;222.42;83.73;27.41;72.98
"2009";6.56;77.98;34.67;85.81;27.13;81.82;100.42;87.62;212.47;79.99;28.62;76.20
"2010-01";5.61;66.71;34.27;84.83;20.84;62.85;101.79;88.82;254.66;95.87;27.92;74.33
"2010-02";6.48;77.05;34.00;84.16;13.81;41.65;90.92;79.34;202.14;76.10;28.43;75.69
"2010-03";6.83;81.21;36.17;89.53;25.25;76.15;101.79;88.82;227.17;85.52;33.18;88.34
"2010-04";7.13;84.78;34.80;86.14;25.23;76.09;104.09;90.83;220.80;83.12;35.61;94.81
"2010-05";7.90;93.94;35.37;87.55;27.18;81.97;103.62;90.42;215.13;80.99;35.82;95.37
"2010-06";7.90;93.94;35.40;87.62;32.17;97.01;104.56;91.24;237.10;89.26;36.22;96.43
"2010-07";7.56;89.89;34.48;85.35;32.73;98.70;104.17;90.90;157.81;59.41;35.38;94.20
"2010-08";6.66;79.19;33.29;82.40;32.49;97.98;89.91;78.46;124.66;46.93;30.28;80.62
"2010-09";5.91;70.27;34.21;84.68;32.58;98.25;90.42;78.90;114.49;43.10;25.27;67.28
"2010-10";6.25;74.32;35.62;88.17;30.46;91.86;85.44;74.56;118.07;44.45;26.81;71.38
"2010-11";7.90;93.94;35.10;86.88;16.98;51.21;103.28;90.12;187.51;70.59;24.25;64.56
"2010-12";7.90;93.94;32.32;80.00;16.02;48.31;109.41;95.47;163.38;61.51;23.92;63.69
"2010";7.00;83.26;34.59;85.61;25.48;76.83;99.12;86.49;185.24;69.74;30.26;80.56
"2011-01";7.90;93.94;34.72;85.94;16.87;50.88;97.83;85.37;207.65;78.17;26.41;70.31
"2011-02";7.90;93.94;35.05;86.76;18.65;56.24;94.62;82.57;194.97;73.40;29.21;77.77
"2011-03";7.90;93.94;35.56;88.02;19.66;59.29;98.04;85.55;217.52;81.89;30.71;81.76
"2011-04";7.84;93.22;36.00;89.11;21.32;64.29;92.02;80.30;206.67;77.80;32.42;86.32
"2011-05";7.90;93.94;33.52;82.97;25.68;77.44;97.21;84.83;212.83;80.12;35.55;94.65
"2011-06";7.80;92.75;35.56;88.02;25.21;76.03;108.54;94.71;180.30;67.88;36.11;96.14
"2011-07";7.90;93.94;35.70;88.37;30.01;90.50;109.19;95.28;142.30;53.57;35.34;94.09
"2011-08";7.11;84.54;34.27;84.83;29.06;87.64;107.38;93.70;86.54;32.58;32.08;85.41
"2011-09";6.23;74.08;33.60;83.17;16.05;48.40;85.81;74.88;88.07;33.16;26.83;71.43
"2011-10";5.24;62.31;34.32;84.95;14.32;43.19;58.51;51.06;99.30;37.38;22.82;60.76
"2011-11";5.62;66.83;33.50;82.92;14.46;43.61;56.74;49.51;119.43;44.96;26.44;70.39
"2011-12";6.07;72.18;34.16;84.55;14.95;45.08;93.61;81.68;150.59;56.69;27.81;74.04
"2011";7.12;84.63;34.66;85.80;20.52;61.88;91.63;79.95;158.85;59.80;30.14;80.26
"2012-01";6.06;72.06;34.00;84.16;17.25;52.02;97.21;84.83;130.71;49.21;27.83;74.10
"2012-02";7.40;87.99;36.03;89.18;18.50;55.79;96.44;84.15;166.82;62.80;29.34;78.11
"2012-03";7.90;93.94;33.50;82.92;20.73;62.52;95.06;82.95;182.94;68.87;32.64;86.90
"2012-04";7.90;93.94;33.92;83.96;22.34;67.37;110.21;96.17;238.48;89.78;32.07;85.38
"2012-05";7.88;93.70;33.92;83.96;21.64;65.26;106.07;92.56;241.90;91.07;35.91;95.61
"2012-06";7.53;89.54;33.58;83.12;20.72;62.49;108.97;95.09;236.25;88.94;36.22;96.43
"2012-07";6.63;78.83;35.54;87.97;15.32;46.20;104.82;91.47;169.08;63.65;32.16;85.62
"2012-08";5.70;67.78;35.40;87.62;16.05;48.40;90.57;79.03;151.39;56.99;27.12;72.20
"2012-09";4.72;56.12;33.68;83.37;15.38;46.38;79.78;69.62;151.56;57.06;21.66;57.67
"2012-10";4.04;48.04;34.03;84.23;18.87;56.91;86.80;75.74;147.66;55.59;21.59;57.48
"2012-11";4.74;56.36;34.86;86.29;13.99;42.19;95.87;83.66;153.62;57.83;27.98;74.49
"2012-12";5.87;69.80;34.72;85.94;22.09;66.62;93.81;81.86;182.62;68.75;26.00;69.22
"2012";6.36;75.67;34.43;85.23;18.57;56.01;97.13;84.76;179.42;67.55;29.21;77.77
"2013-01";6.69;79.55;34.00;84.16;27.97;84.35;111.15;96.99;259.86;97.83;28.60;76.15
"2013-02";7.90;93.94;34.48;85.35;14.33;43.22;111.24;97.07;242.05;91.12;25.84;68.80
"2013-03";7.90;93.94;34.21;84.68;16.28;49.10;109.63;95.66;235.03;88.48;30.06;80.03
"2013-04";7.90;93.94;35.54;87.97;25.32;76.36;105.38;91.96;250.73;94.39;33.79;89.96
"2013-05";7.90;93.94;33.29;82.40;29.12;87.82;110.65;96.55;252.25;94.96;34.93;93.00
"2013-06";7.90;93.94;34.91;86.41;28.00;84.44;103.83;90.60;250.01;94.12;35.93;95.66
"2013-07";7.52;89.42;33.13;82.01;32.37;97.62;100.32;87.54;237.02;89.23;34.60;92.12
"2013-08";6.62;78.72;33.92;83.96;32.98;99.46;106.94;93.32;207.23;78.02;30.71;81.76
"2013-09";5.47;65.04;34.62;85.69;22.89;69.03;95.42;83.26;155.36;58.49;24.79;66.00
"2013-10";4.66;55.41;35.26;87.28;26.65;80.37;99.07;86.45;136.42;51.36;20.88;55.59
"2013-11";4.00;47.56;33.79;83.64;21.54;64.96;100.40;87.61;166.39;62.64;27.32;72.74
"2013-12";5.58;66.35;33.71;83.44;23.69;71.44;110.43;96.36;172.73;65.03;29.25;77.88
"2013";6.67;79.31;34.24;84.75;25.10;75.68;105.37;91.95;213.76;80.47;29.73;79.14
"2014-01";6.14;73.01;33.92;83.96;16.87;50.88;108.66;94.82;232.89;87.68;31.33;83.41
"2014-02";7.16;85.14;34.89;86.36;22.89;69.03;113.54;99.08;247.55;93.19;29.57;78.73
"2014-03";7.90;93.94;35.89;88.84;23.83;71.86;105.34;91.92;237.40;89.37;32.99;87.83
"2014-04";7.90;93.94;34.00;84.16;24.52;73.94;107.47;93.78;236.56;89.06;33.60;89.46
"2014-05";7.60;90.37;34.80;86.14;29.66;89.45;108.48;94.66;222.86;83.90;34.63;92.20
"2014-06";7.20;85.61;34.89;86.36;32.64;98.43;100.53;87.72;174.35;65.64;35.25;93.85
"2014-07";6.23;74.08;33.95;84.04;32.99;99.49;110.92;96.79;123.76;46.59;31.88;84.88
"2014-08";5.01;59.57;35.73;88.44;31.68;95.54;111.10;96.95;92.01;34.64;27.41;72.98
"2014-09";3.40;40.43;34.24;84.75;28.37;85.56;106.55;92.98;74.15;27.92;20.68;55.06
"2014-10";2.68;31.87;35.84;88.71;24.48;73.82;91.59;79.92;83.02;31.25;16.10;42.87
"2014-11";2.59;30.80;33.74;83.52;16.73;50.45;114.45;99.87;141.47;53.26;16.58;44.14
"2014-12";4.06;48.28;35.40;87.62;19.45;58.66;94.33;82.31;133.62;50.30;28.13;74.89
"2014";5.66;67.25;34.77;86.08;25.34;76.43;106.08;92.57;166.64;62.73;28.18;75.02
"2015-01";5.03;59.81;33.76;83.56;17.35;52.32;105.60;92.15;154.32;58.10;26.57;70.74
"2015-02";6.84;81.33;36.14;89.46;22.51;67.88;111.91;97.65;203.73;76.70;30.78;81.95
"2015-03";7.90;93.94;35.67;88.29;21.89;66.01;106.33;92.78;200.83;75.61;32.96;87.75
"2015-04";7.90;93.94;34.56;85.55;28.52;86.01;99.40;86.74;229.19;86.28;34.01;90.55
"2015-05";7.61;90.49;35.65;88.24;31.95;96.35;102.09;89.08;250.17;94.18;35.65;94.92
"2015-06";6.52;77.53;34.40;85.15;32.22;97.17;92.86;81.03;230.92;86.93;34.59;92.09
"2015-07";5.21;61.95;34.11;84.43;32.82;98.98;96.68;84.36;188.76;71.06;30.33;80.75
"2015-08";3.85;45.78;33.23;82.26;31.67;95.51;84.58;73.80;179.28;67.49;26.80;71.34
"2015-09";3.21;38.17;33.44;82.78;28.91;87.18;76.42;66.68;176.11;66.30;23.41;62.33
"2015-10";3.52;41.86;37.87;93.74;22.65;68.31;72.16;62.97;158.45;59.65;20.27;53.96
"2015-11";4.09;48.63;36.31;89.87;17.59;53.05;77.94;68.01;123.01;46.31;32.26;85.88
"2015-12";4.23;50.30;38.01;94.09;16.74;50.48;66.88;58.36;123.21;46.38;25.49;67.86
"2015";5.49;65.31;35.26;87.29;25.40;76.60;91.07;79.47;184.83;69.58;29.43;78.34
"2016-01";4.88;58.03;36.84;91.18;21.01;63.36;91.42;79.77;218.24;82.16;28.99;77.18
"2016-02";6.87;81.69;37.20;92.07;17.50;52.77;90.13;78.65;253.13;95.30;28.90;76.95
"2016-03";7.90;96.81;36.39;92.54;17.53;54.13;93.26;81.38;201.52;76.07;32.77;86.42
"2016-04";7.90;93.94;38.10;94.30;24.84;74.91;88.04;76.83;240.89;90.69;33.39;88.90
"2016-05";7.90;93.94;37.70;93.32;32.70;98.61;87.37;76.24;256.44;96.54;36.06;96.02
"2016-06";7.90;93.94;38.13;94.37;32.56;98.19;84.49;73.73;263.47;99.19;36.23;96.46
"2016-07";7.46;88.70;37.34;92.42;27.79;83.81;83.03;72.46;243.69;91.74;34.79;92.63
"2016-08";6.35;75.51;38.10;94.30;27.99;84.41;84.62;73.83;211.47;79.61;30.54;81.31
"2016-09";5.36;63.73;36.20;89.59;23.16;69.84;78.29;68.32;189.35;71.28;27.67;73.67
"2016-10";3.91;46.49;35.53;87.95;23.21;69.99;66.72;58.22;147.89;55.67;23.49;62.54
"2016-11";4.53;53.86;37.68;93.27;18.19;54.86;79.10;69.02;156.11;58.77;26.10;69.49
"2016-12";4.43;52.68;36.53;90.42;17.40;52.47;71.71;62.57;138.88;52.28;25.51;67.92
"2016";6.28;74.94;37.14;92.15;23.66;71.45;83.18;72.58;210.09;79.11;30.37;80.79
"2017-01";4.18;49.70;35.78;88.56;19.32;58.26;55.68;48.59;118.07;44.45;26.76;71.25
"2017-02";4.86;57.79;37.84;93.66;20.60;62.12;72.64;63.39;195.98;73.78;29.14;77.58
"2017-03";5.08;60.40;37.14;91.93;18.94;57.12;80.81;70.52;205.20;77.25;30.05;80.01
"2017-04";4.70;55.89;36.11;89.38;24.54;74.01;79.25;69.15;219.92;82.79;33.38;88.87
"2017-05";3.99;47.44;37.14;91.93;31.03;93.58;72.87;63.59;252.57;95.08;34.53;91.93
"2017-06";3.38;40.19;35.86;88.76;32.76;98.79;80.26;70.04;249.46;93.91;33.43;89.00
"2017-07";2.71;32.22;35.95;88.99;32.76;98.79;80.45;70.20;243.30;91.59;33.75;89.86
"2017-08";2.38;28.30;36.75;90.97;32.78;98.85;87.02;75.93;212.12;79.86;29.45;78.41
"2017-09";2.63;31.27;37.45;92.70;26.75;80.68;67.89;59.24;158.45;59.65;27.53;73.30
"2017-10";2.17;25.80;37.70;93.32;21.88;65.98;62.80;54.80;106.65;40.15;21.56;57.40
"2017-11";3.35;39.83;37.62;93.12;20.80;62.73;73.44;64.08;87.95;33.11;29.69;79.05
"2017-12";5.26;62.55;38.13;94.38;14.12;42.58;87.53;76.38;117.45;44.22;24.19;64.40
"2017";3.72;44.28;36.96;91.48;24.69;74.46;75.05;65.49;180.59;67.99;29.46;78.42
"2018-01";6.68;79.43;37.37;92.50;18.93;57.09;83.78;86.83;181.91;68.48;27.40;72.95
"2018-02";8.41;100.00;36.33;89.93;12.43;37.49;85.75;88.88;199.80;75.22;27.53;73.30
"2018-03";8.41;100.00;38.52;95.35;21.88;65.98;91.82;95.17;253.54;95.45;30.37;80.86
"2018-04";8.41;100.00;38.55;95.42;25.77;77.71;79.19;82.08;239.57;90.19;32.63;86.87
"2018-05";8.41;100.00;37.93;93.89;30.21;91.10;83.87;86.93;249.85;94.06;35.86;95.47
